"id","business","website","city_state","contact_method","reviews","page_reviewed","observed_issue","outreach_angle","date_contacted","follow_up_1","follow_up_2","reply","status","notes","","","","",""
"16","Texas Direct Roofing & Construction","https://txdroofing.com/","Dallas-Fort Worth, TX","Website contact / call","Not captured","Homepage","Homepage is broad; storm damage message may not be a single-service landing path.","Offer a DFW storm damage inspection landing page using their insurance-claims experience as proof.","","","","","Not contacted","Source notes: site says storm damage roofing contractor DFW and mentions roof inspections, repairs, and replacements.","","","","",""
"17","Rescue Roofing Texas","https://rescueroofingtexas.com/roofing-contractor-in-dallas-county-texas/","Dallas County / DFW, TX","Website contact / free inspection CTA","Not captured","Dallas County roofing contractor page","Location page mentions many services; could use a narrower storm inspection conversion page.","Offer a Dallas County storm-damage inspection landing page with one request-inspection CTA.","","","","","Not contacted","Source notes: page mentions free roof inspections and storm, tornado, and hail damage.","","","","",""
"18","LOA Construction","https://www.loaconstruction.com/blog/after-the-hail-surge-in-austin-roof-inspections-and-claims/","Austin, TX","Call 512-375-3654 / Request an Appointment","5.0 stars / 1,000+ reviews shown in footer","Hail storm inspection article","Hail inspection content is blog-style and asks storm visitors to read through many topics before taking action.","Prepared focused Austin hail inspection landing page outreach; build a light demo only after reply or if a demo link is needed.","","","","","Not contacted","Source reviewed 2026-06-23. Page tells homeowners to call for a free inspection after hail and includes a request appointment path.","","","","",""
"19","Rhino Roofers","https://rhinoroofers.com/","San Antonio, TX","Website assessment CTA","Not captured","Homepage","Homepage has strong inspection process but may not isolate hail/storm inspection traffic.","Offer a San Antonio storm damage inspection page around their free 37-point inspection.","","","","","Not contacted","Source notes: site mentions free 37-point roofing inspection.","","","","",""
"20","Rivertop Roofing","https://www.rivertoproofing.com/plano-tx-roof-inspection","Plano, TX","Website contact CTA","Not captured","Plano roof inspection page","Inspection page is specific but may be optimized for general inspection rather than storm lead capture.","Offer a storm/hail variant of the Plano inspection landing page with tighter CTA and proof.","","","","","Not contacted","Source notes: page offers free roof damage inspection with weather report and photo presentation.","","","","",""
"21","Final Cut Roofing","https://finalcutroofing.com/free-roof-inspection/","Frisco / DFW, TX","Call 972-777-0350 / request estimate CTA","Not captured","Free roof inspection page","Dedicated free inspection page exists; could review whether CTA, proof, and trust are strongest above fold.","Offer a conversion-focused update for hail-damage inspection traffic in Frisco and DFW.","","","","","Not contacted","Source notes: page mentions roof hail damage, free emergency repairs, photos, and claim guidance.","","","","",""
"22","Texas Star Roofing & Construction","https://tsrcinc.com/","San Antonio, TX","Website roof inspection / emergency repair CTA","Not captured","Homepage","Homepage covers multiple services; storm inspection and emergency repair may need separate campaign pages.","Offer a dedicated San Antonio storm wear / emergency inspection landing page.","","","","","Not contacted","Source notes: site mentions free detailed inspections, storm wear, and emergency roof repair.","","","","",""
"23","Invictus Roofing","https://www.invictusroofing.com/service-areas/frisco/","Frisco, TX","Call 469-649-0288 / free inspection CTA","Reviews referenced on page","Frisco service-area page","Service-area page includes free inspection but may be generic for all roofing services.","Offer a Frisco storm-damage inspection landing page that highlights reviews and simplifies the form flow.","","","","","Not contacted","Source notes: page says request your free roof inspection and asks visitors to read reviews.","","","","",""
"24","Ripple Roofing","https://rippleroofs.com/locations/waco","Waco, TX","Website free inspection / emergency CTA","Not captured","Waco location page","Location page includes storm/emergency messaging but may be broad rather than a tight lead-capture page.","Offer a Waco storm damage emergency inspection landing page.","","","","","Not contacted","Source notes: page mentions 24/7 emergency response when storm damage strikes.","","","","",""
"25","Charger Roofing","https://charger-roofing.com/roof-hail-damage-in-san-antonio-texas/","San Antonio, TX","Website contact form sent; Sales@Charger-Roofing.com had delivery issue","Not captured","Hail damage page","Live page reviewed 2026-06-16. The free inspection offer is present, but the page is educational/basic and trust proof is not prominent near the form.","Sent focused hail inspection landing page demo: https://roof-check-preview.vercel.app/charger-roofing","2026-06-23 4:53 PM ET via contact form","2026-06-30 4:53 PM ET","Optional only if still worth pursuing","Email bounced / forwarding blocked; contact form sent","Contact form sent","Initial email produced Gmail 550 5.7.520 forwarding-blocked bounce. Short contact-form message sent afterward through https://charger-roofing.com/contact/. Source notes: page says FREE INSPECTION, offers a free roof checkup, form asks name/email/phone/address/message, and footer lists phone/email.","","","","",""
"26","On Point Roofing","https://onpointroofingdfw.com/2025/08/free-roof-inspection-near-me-plano/","Plano / DFW, TX","Website contact / inspection CTA","Not captured","Free roof inspection article","Inspection content is blog-style; may benefit from a dedicated landing page for Plano hail searches.","Offer a Plano post-hail inspection landing page based on their existing educational content.","","","","","Not contacted","Source notes: page says they specialize in post-storm inspections and documentation for insurance.","","","","",""
"27","Pappas Roofing and Construction","https://www.pappasroofingandconstruction.com/","Plano, TX","Call 972-806-9791 / schedule CTA","Not captured","Homepage","Homepage has inspection CTA; needs review for dedicated storm/hail path and trust proof placement.","Offer a storm inspection landing page for Plano roofers focused on calls and scheduled inspections.","","","","","Not contacted","Source notes: site says schedule your hassle-free roof inspection.","","","","",""
"28","Integrity First Roofing & Construction","https://constructionwithintegrity.com/storm-damage-repair-frisco/","Frisco, TX","Website schedule CTA","5-star Google/Facebook ratings noted","Storm damage repair page","Dedicated storm page exists; could test CTA clarity and proof placement above fold.","Offer conversion optimization for their Frisco storm damage repair page.","","","","","Not contacted","Source notes: page mentions free inspection, 5-star ratings, and BBB accreditation.","","","","",""
"29","StormVets Roofing","https://stormvets.com/free-roof-inspection-frisco-tx/","Frisco, TX","Website contact / inspection CTA","Not captured","Free roof inspection page","Inspection page is relevant; should review whether the CTA and proof are strong enough for paid/search traffic.","Offer a conversion audit for the free roof inspection page to improve Frisco inspection requests.","","","","","Not contacted","Source notes: page offers free roof inspections in Frisco and Collin/Denton County.","","","","",""
"30","Cloud Roofing","https://www.cloudroofing.com/emergency-roof-repair","San Antonio, TX","Call 210-864-9221 / free quote CTA","Not captured","Emergency roof repair page","Emergency repair page has free quote language but may not be framed around storm inspection lead capture.","Offer a storm/emergency inspection landing page that separates urgent repair traffic from general quote requests.","","","","","Not contacted","Source notes: page mentions free inspections and quotes for repair or replacement.","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
